Name,Record,Descriptions,Gallformer species
Callirhytis lustrans,128,"97,102",Callirhytis vaccinii
Cynips vacciniiformis,129,"99,100",Andricus robustus
Adleria vacciniiformis,130,104,Andricus robustus
Andricus vacciniiformis,131,,Andricus robustus
Andricus flavohirtus,132,106,Andricus flavohirtus
Andricus decidua,133,"108,107",Dryocosmus deciduus
Cynips decidua,134,109,Dryocosmus deciduus
Cynips quercus decidua,135,110,Dryocosmus deciduus
Amphibolips quercusspongifica,136,,Amphibolips quercusspongifica
Amphibolips confluenta,137,"141,150,153",Amphibolips confluenta
Cynips confluentus,138,113,Amphibolips confluenta
Amphibolips confluens,139,"114,115,142,149,152",Amphibolips confluenta
Amphibolips confluens spongifica,140,"116,148",Amphibolips quercusspongifica
Amphibolips caroliniensis,141,"117,121,122",Amphibolips quercusspongifica
Amphibolips longicornis,142,"118,119,120",Amphibolips quercusspongifica
Cynips confluens,143,123,Amphibolips quercusspongifica
Cynips aciculata,144,"124,127",Amphibolips confluenta
Cynips quercus coccineae,145,125,Amphibolips quercusspongifica
Cynips quercus spongifica,146,126,Amphibolips quercusspongifica
(undescribed),147,,Amphibolips quercusinanis
Cynips quercus inanis,148,"128,129",Amphibolips quercusinanis
Amphibolips coccineae,149,130,Amphibolips quercusspongifica
Amphibolips spongifica,150,"131,134,154",Amphibolips quercusspongifica
Holcaspis inanis,151,132,Amphibolips quercusinanis
Holcaspis centricola,152,133,Atrusca quercuscentricola
Amphibolips confluentus,153,"135,138,145,147,151",Amphibolips confluenta
Andricus singularis,154,136,Andricus quercusostensackenii
Andricus osten sackenii,155,137,Andricus quercusostensackenii
Amphibolips inanis,156,"139,143",Amphibolips quercusinanis
Andricus quercussingularis,157,140,Andricus quercusostensackenii
Amphibolips confluentis,158,"144,146",Amphibolips confluenta
Disholcaspis globosa,159,"155,156,157",Disholcaspis globosa
Andricus gemmiformis,160,"158,159",Callirhytis gemmiformis
Callirhytis gemmiformis,161,"160,161",Callirhytis gemmiformis
Cynips weldi,162,"162,163",Andricus weldi
Adleria weldi,163,"164,165",Andricus weldi
Asteromyia euthamiae,164,166,Asteromyia euthamiae
Asteromyia carbonifera,165,167,Asteromyia carbonifera
Asteromyia modesta,166,168,Asteromyia modesta
Amphibolips globulus,167,"169,170,171,172",Amphibolips globulus
Cynips quercus coelebs,168,173,Amphibolips quercuscoelebs
Callirhytis seminosa,169,174,Callirhytis seminosa
Andricus seminosus,170,175,Callirhytis seminosa
Callirhytis punctata,171,176,Callirhytis quercuspunctata
Cynips quercus punctata,172,177,Callirhytis quercuspunctata
Cynips quercus hirta,173,178,Acraspis quercushirta
Acraspis hirta,174,"180,182",Acraspis quercushirta
Cynips hirta hirta,175,181,Acraspis quercushirta
Trigonaspis ornata,176,183,Xanthoteras ornatum
Xanthoteras ornatum,177,184,Xanthoteras ornatum
