Specific Name,Record,Plant specific name,Regions,Galls,Genus,Family (from Taxonomy),Descriptions
Acalypha rhomboidea,346,rhomboidea,,,Acalypha,Euphorbiaceae,
Acer campestre,71,campestre,,"Aceria myriadeum,Rhytisma acerinum",Acer,Aceraceae,24
Acer circinatum,99,circinatum,,"Aceria major,Rhytisma acerinum,Rhytisma punctatum",Acer,Aceraceae,
Acer floridanum,150,floridanum,,"Aceria modesta,Vasates aceriscrumena",Acer,Aceraceae,
Acer ginnala,167,ginnala,,Rhytisma acerinum,Acer,Aceraceae,
Acer glabrum,170,glabrum,,"Aceria calaceris,Rhytisma americanum,Rhytisma punctatum",Acer,Aceraceae,22
Acer heldreichii,187,heldreichii,,Aceria calaceris,Acer,Aceraceae,22
Acer leucoderme,229,leucoderme,,Vasates aceriscrumena,Acer,Aceraceae,23
Acer macrophyllum,236,macrophyllum,,"Aceria calaceris,Aceria major,Rhytisma americanum,Rhytisma punctatum",Acer,Aceraceae,22
Acer negundo,265,negundo,,"Aceria negundi,Proteoteras willingana,Contarinia negundinis,Contarinia (undescribed),Rhytisma acerinum,Rhytisma americanum,Rhytisma punctatum",Acer,Aceraceae,"5,16,26"
Acer nigrum,277,nigrum,,"Vasates aceriscrumena,Acericecis ocellaris",Acer,Aceraceae,
Acer pensylvanicum,306,pensylvanicum,,Rhytisma punctatum,Acer,Aceraceae,
Acer platanoides,311,platanoides,,"Rhytisma acerinum,Rhyncaphytoptus magnificus",Acer,Aceraceae,"10,18"
Acer pseudoplatanus,322,pseudoplatanus,,"Vasates quadripedes,Aceria myriadeum,Rhytisma acerinum,Rhytisma americanum,Rhytisma punctatum",Acer,Aceraceae,24
Acer rubrum,353,rubrum,,"Aceria major,Aculus minutissimus,Aculus quinquilobus,Vasates quadripedes,Cecidophyes naulti,Acericecis ocellaris,Dasineura communis,Proteoteras willingana,Rhytisma acerinum,Rhytisma americanum,Rhytisma punctatum,Xylotrechus aceris,Synanthedon acerni,Cryptophyllaspis liquidambaris,Dasineura rileyana,Rhyncaphytoptus magnificus",Acer,Aceraceae,"3,8,11,12,13,14,18,19,20,25,27"
Acer saccharinum,357,saccharinum,,"Eriophyes aceris,Vasates quadripedes,Rhytisma acerinum,Rhytisma americanum,Rhytisma punctatum,Synanthedon acerni,Dasineura aceris",Acer,Aceraceae,"7,13,21,27,28"
Acer saccharum,358,saccharum,"Eastern North America,Southern US","Aceria elongata,Aceria modesta,Vasates aceriscrumena,Acericecis ocellaris,Dasineura communis,Rhytisma acerinum,Rhytisma americanum,Rhytisma punctatum,Synanthedon acerni",Acer,Aceraceae,"2,4,9,1,15,23,29"
Acer spicatum,378,spicatum,,"Aceria spicati,Rhytisma acerinum,Rhytisma americanum,Rhytisma punctatum",Acer,Aceraceae,"6,17"
Acer xfreemanii,451,xfreemanii,,Aculus minutissimus,Acer,Aceraceae,
Achillea millefolium,250,millefolium,,,Achillea,Asteraceae,
Achillea ptamica,324,ptamica,,,Achillea,Asteraceae,
Adenostoma fasciculatum,147,fasciculatum,,,Adenostoma,Rosaceae,
Aesculus californica,63,californica,,,Aesculus,Sapindaceae,
Agalinis heterophylla,189,heterophylla,,,Agalinis,Scrophulariaceae,
Ageratina altissima,15,altissima,,,Ageratina,Asteraceae,
Ailanthus altissima,16,altissima,,,Ailanthus,Simaroubaceae,
Alnus cordata,112,cordata,,,Alnus,Betulaceae,
Alnus glutinosa,175,glutinosa,,,Alnus,Betulaceae,33
Alnus incana,198,incana,,,Alnus,Betulaceae,33
Alnus pubescens,325,pubescens,,,Alnus,Betulaceae,33
Alnus rhombifolia,345,rhombifolia,,,Alnus,Betulaceae,"33,32"
Alnus rubra,351,rubra,,,Alnus,Betulaceae,"33,32"
Alnus rugosa,354,rugosa,,,Alnus,Betulaceae,"33,32"
Alnus serrulata,373,serrulata,,,Alnus,Betulaceae,
Alnus tenuifolia,394,tenuifolia,,,Alnus,Betulaceae,"33,32"
Alnus viridis,441,viridis,,,Alnus,Betulaceae,33
Aloe spinosissima,381,spinosissima,,Aceria aloinis,Aloe,Asphodelaceae,"40,41"
Aloe striata,387,striata,,,Aloe,Asphodelaceae,41
Aloe nobilis,516,nobilis,,Aceria aloinis,Aloe,Asphodelaceae,40
Ambrosia ambrosioides,18,ambrosioides,,,Ambrosia,Asteraceae,
Ambrosia artemisiifolia,44,artemisiifolia,,,Ambrosia,Asteraceae,
Ambrosia chenopodiifolia,95,chenopodiifolia,,,Ambrosia,Asteraceae,
Ambrosia deltoides,121,deltoides,,,Ambrosia,Asteraceae,
Ambrosia psilostachya,323,psilostachya,,,Ambrosia,Asteraceae,
Ambrosia trifida,411,trifida,,,Ambrosia,Asteraceae,
Ambrosia trifida,412,trifida,,,Ambrosia,Asteraceae,
Amelanchier canadensis,79,canadensis,,,Amelanchier,Rosaceae,
Amelanchier ovalis,289,ovalis,,,Amelanchier,Rosaceae,
Amelanchier vulgaris,447,vulgaris,,,Amelanchier,Rosaceae,
Amorpha canescens,82,canescens,,,Amorpha,Fabaceae,
Amorpha fruticosa,159,fruticosa,,,Amorpha,Fabaceae,
Amsinckia menziesii,246,menziesii,,,Amsinckia,Boraginaceae,
Andromeda polifolia,315,polifolia,,,Andromeda,Ericaceae,
Apocynum androsaemifolium,30,androsaemifolium,,,Apocynum,Apocynaceae,
Aronia rotundifolia,350,rotundifolia,,,Aronia,Rosaceae,
Artemisia californica,64,californica,,,Artemisia,Asteraceae,
Artemisia campestris,72,campestris,,,Artemisia,Asteraceae,
Artemisia douglasiana,134,douglasiana,,,Artemisia,Asteraceae,
Artemisia dracunculus,136,dracunculus,,,Artemisia,Asteraceae,
Artemisia eriantha,142,eriantha,,,Artemisia,Asteraceae,
Artemisia frigida,155,frigida,,,Artemisia,Asteraceae,
Artemisia furcata,162,furcata,,,Artemisia,Asteraceae,
Artemisia tridentata,409,tridentata,,,Artemisia,Asteraceae,
Artemisia vulgaris,446,vulgaris,,,Artemisia,Asteraceae,
Atriplex canescens,83,canescens,,,Atriplex,Amaranthaceae,
Baccharis glutinosa,174,glutinosa,,,Baccharis,Asteraceae,
Baccharis halimifolia,184,halimifolia,,,Baccharis,Asteraceae,
Baccharis neglecta,264,neglecta,,,Baccharis,Asteraceae,
Baccharis pilularis,310,pilularis,,Aceria baccharipha,Baccharis,Asteraceae,"34,35"
Baccharis salicifolia,359,salicifolia,,,Baccharis,Asteraceae,
Baccharis sarothroides,363,sarothroides,,,Baccharis,Asteraceae,
Betula albosinensis,11,albosinensis,,,Betula,Betulaceae,
Betula alleghaniensis,13,alleghaniensis,,,Betula,Betulaceae,
Betula americana,24,americana,,,Betula,Betulaceae,
Betula concinna,107,concinna,,,Betula,Betulaceae,
Betula cordifolia,113,cordifolia,,,Betula,Betulaceae,
Betula coriacea,114,coriacea,,,Betula,Betulaceae,
Betula humilis,193,humilis,,,Betula,Betulaceae,
Betula lenta,228,lenta,,,Betula,Betulaceae,
Betula nana,262,nana,,,Betula,Betulaceae,
Betula neoalaskana,267,neoalaskana,,,Betula,Betulaceae,
Betula nigra,274,nigra,,,Betula,Betulaceae,
Betula occidentalis,284,occidentalis,,,Betula,Betulaceae,
Betula odorata,286,odorata,,,Betula,Betulaceae,
Betula papyrifera,297,papyrifera,,,Betula,Betulaceae,
Betula pendula,302,pendula,,,Betula,Betulaceae,
Betula populifolia,316,populifolia,,,Betula,Betulaceae,
Betula pubescens,327,pubescens,,,Betula,Betulaceae,
Betula pumila,328,pumila,,,Betula,Betulaceae,
Borrichia frutescens,158,frutescens,,,Borrichia,Asteraceae,
Buxus koreana,209,koreana,,,Buxus,Buxaceae,
Buxus microphylla,248,microphylla,,,Buxus,Buxaceae,
Buxus sempervirens,368,sempervirens,,,Buxus,Buxaceae,
Buxus wallichiana,449,wallichiana,,,Buxus,Buxaceae,
Calycanthus floridus,151,floridus,,,Calycanthus,Calycanthaceae,
Camellia sinensis,376,sinensis,,,Camellia,Theaceae,
Cannabis sativa,364,sativa,,,Cannabis,Cannabaceae,
Carpinus caroliniana,87,caroliniana,,,Carpinus,Betulaceae,
Carya illinoinensis,196,illinoinensis,,,Carya,Juglandaceae,
Carya ovata,290,ovata,,Caryomyia tubicola,Carya,Juglandaceae,
Castanea dentata,123,dentata,,,Castanea,Fagaceae,
Ceanothus americanus,25,americanus,,,Ceanothus,Rhamnaceae,
Ceanothus cuneatus,119,cuneatus,,,Ceanothus,Rhamnaceae,
Ceanothus spinosus,382,spinosus,,,Ceanothus,Rhamnaceae,
Ceanothus velutinus,426,velutinus,,,Ceanothus,Rhamnaceae,
Celtis laevigata,215,laevigata,,,Celtis,Cannabaceae,
Celtis occidentalis,282,occidentalis,,,Celtis,Cannabaceae,
Celtis pallida,292,pallida,,,Celtis,Cannabaceae,
Celtis reticulata,340,reticulata,,,Celtis,Cannabaceae,
Celtis tenuifolia,395,tenuifolia,,,Celtis,Cannabaceae,
Cephalanthus occidentalis,281,occidentalis,,,Cephalanthus,Rubiaceae,
Chondrilla juncea,206,juncea,,,Chondrilla,Asteraceae,
Corylus americana,21,americana,,,Corylus,Betulaceae,
Corylus avellana,49,avellana,,,Corylus,Betulaceae,
Corylus columa,102,columa,,,Corylus,Betulaceae,
Corylus cornuta,115,cornuta,,,Corylus,Betulaceae,
Corylus maxima,241,maxima,,,Corylus,Betulaceae,
Corylus tubulosa,417,tubulosa,,,Corylus,Betulaceae,
Cotoneaster integerrimus,200,integerrimus,,,Cotoneaster,Rosaceae,
Cotoneaster nebrodensis,263,nebrodensis,,,Cotoneaster,Rosaceae,
Cotoneaster nummularia,279,nummularia,,,Cotoneaster,Rosaceae,
Cotoneaster racemiflorus,334,racemiflorus,,,Cotoneaster,Rosaceae,
Crataegus calpodendron,69,calpodendron,,,Crataegus,Rosaceae,
Crataegus crus-galli,118,crus-galli,,,Crataegus,Rosaceae,
Crataegus erythropoda,143,erythropoda,,,Crataegus,Rosaceae,
Crataegus laevigata,216,laevigata,,,Crataegus,Rosaceae,
