Specific Name,Record,Plant specific name,Regions,Galls,Genus,Family (from Taxonomy),Descriptions
Crataegus monogyna,253,monogyna,,,Crataegus,Rosaceae,
Crataegus nigra,271,nigra,,,Crataegus,Rosaceae,
Crataegus pruinosa,320,pruinosa,,,Crataegus,Rosaceae,
Crataegus punctata,329,punctata,,,Crataegus,Rosaceae,
Crataegus rhipidophylla,344,rhipidophylla,,,Crataegus,Rosaceae,
Crataegus tomentosa,401,tomentosa,,,Crataegus,Rosaceae,
Cucurbita foetidissima,152,foetidissima,,,Cucurbita,Cucurbitaceae,
Cydonia oblonga,280,oblonga,,,Cydonia,Rosaceae,
Cytisus scoparius,365,scoparius,,,Cytisus,Fabaceae,
Diospyros texana,396,texana,,,Diospyros,Ebenaceae,
Diospyros virginiana,435,virginiana,,,Diospyros,Ebenaceae,
Elaeagnus commutata,106,commutata,,,Elaeagnus,Elaeagnaceae,
Ericameria laricifolia,225,laricifolia,,,Ericameria,Asteraceae,
Ericameria palmeri,294,palmeri,,,Ericameria,Asteraceae,
Erigeron canadensis,80,canadensis,,,Erigeron,Asteraceae,
Erodium texanum,397,texanum,,,Erodium,Geraniaceae,
Euonymus occidentalis,283,occidentalis,,,Euonymus,Celastraceae,
Euthamia caroliniana,88,caroliniana,,,Euthamia,Asteraceae,
Euthamia graminifolia,177,graminifolia,,,Euthamia,Asteraceae,166
Euthamia leptocephala,519,,,,Euthamia,Asteraceae,166
Euthamia minor,520,,,,Euthamia,Asteraceae,166
Euthamia tenuifolia,521,,,,Euthamia,Asteraceae,166
Fagus grandifolia,180,grandifolia,,,Fagus,Fagaceae,
Frangula alnus,14,alnus,,,Frangula,Rhamnaceae,
Fraxinus americana,20,americana,,,Fraxinus,Oleaceae,"44,45"
Fraxinus angustifolia,31,angustifolia,,,Fraxinus,Oleaceae,
Fraxinus dipetala,126,dipetala,,,Fraxinus,Oleaceae,
Fraxinus excelsior,145,excelsior,,,Fraxinus,Oleaceae,
Fraxinus latifolia,226,latifolia,,,Fraxinus,Oleaceae,"44,45"
Fraxinus nigra,269,nigra,,,Fraxinus,Oleaceae,45
Fraxinus pennsylvanica,303,pennsylvanica,,,Fraxinus,Oleaceae,"44,45"
Gaylussacia frondosa,156,frondosa,,,Gaylussacia,Ericaceae,
Geranium carolinianum,90,carolinianum,,,Geranium,Geraniaceae,
Geranium dissectum,129,dissectum,,,Geranium,Geraniaceae,
Geranium lucidum,234,lucidum,,,Geranium,Geraniaceae,
Geranium multiflorum,255,multiflorum,,,Geranium,Geraniaceae,
Geranium palustre,295,palustre,,,Geranium,Geraniaceae,
Geranium pratense,317,pratense,,,Geranium,Geraniaceae,
Geranium pusillum,331,pusillum,,,Geranium,Geraniaceae,
Geranium sanguineum,362,sanguineum,,,Geranium,Geraniaceae,
Geranium sylvaticum,392,sylvaticum,,,Geranium,Geraniaceae,
Geranium villosum,430,villosum,,,Geranium,Geraniaceae,
Glechoma hederacea,186,hederacea,,,Glechoma,Lamiaceae,
Guara biennis,57,biennis,,,Guara,Onagraceae,
Guazuma ulmifolia,421,ulmifolia,,,Guazuma,Malvaceae,
Halesia carolina,86,carolina,,,Halesia,Styracaceae,
Hamamelis virginiana,436,virginiana,,,Hamamelis,Hamamelidaceae,
Haworthia retusa,517,retusa,,,Haworthia,Asphodelaceae,41
Heterotheca subaxillaris,389,subaxillaris,,,Heterotheca,Asteraceae,
Hieracium canadense,74,canadense,,,Hieracium,Asteraceae,
Hippophae rhamnoides,343,rhamnoides,,,Hippophae,Elaeagnaceae,
Holodiscus discolor,128,discolor,,,Holodiscus,Rosaceae,
Ilex dubia,137,dubia,,,Ilex,Aquifoliaceae,
Ilex longipes,233,longipes,,,Ilex,Aquifoliaceae,
Ilex montana,254,montana,,,Ilex,Aquifoliaceae,
Ilex serrata,371,serrata,,,Ilex,Aquifoliaceae,
Ilex verticillata,429,verticillata,,,Ilex,Aquifoliaceae,
Ilex vomitoria,443,vomitoria,,,Ilex,Aquifoliaceae,
Ipomoea carnea,85,carnea,,,Ipomoea,Convolvulaceae,
Iva frutescens,157,frutescens,,,Iva,Asteraceae,
Juglans ailantifolia,7,ailantifolia,,,Juglans,Juglandaceae,
Juglans californica,65,californica,,Aceria brachytarsa,Juglans,Juglandaceae,"37,36"
Juglans cinerea,98,cinerea,,,Juglans,Juglandaceae,
Juglans hindsii,190,hindsii,,Aceria brachytarsa,Juglans,Juglandaceae,"37,36"
Juglans major,238,major,,,Juglans,Juglandaceae,
Juglans microcarpa,247,microcarpa,,,Juglans,Juglandaceae,
Juglans nigra,273,nigra,,Aceria caulis,Juglans,Juglandaceae,"38,39"
Juglans regia,339,regia,,,Juglans,Juglandaceae,
Juniperus ashei,46,ashei,,,Juniperus,Cupressaceae,
Lactuca canadensis,76,canadensis,,,Lactuca,Asteraceae,
Lantana camara,70,camara,,,Lantana,Verbenaceae,
Laportea canadensis,77,canadensis,,,Laportea,Urticaceae,
Lepidospartum squamatum,384,squamatum,,,Lepidospartum,Asteraceae,
Liquidambar styracifolia,388,styracifolia,,,Liquidambar,Altingiaceae,
Liriodendron tulipifera,418,tulipifera,,,Liriodendron,Magnoliaceae,
Lycium afrum,6,afrum,,,Lycium,Solanaceae,
Lycium andersonii,28,andersonii,,,Lycium,Solanaceae,
Lycium arabicum,36,arabicum,,,Lycium,Solanaceae,
Lycium barbarum,54,barbarum,,,Lycium,Solanaceae,
Lycium carolinianum,89,carolinianum,,,Lycium,Solanaceae,
Lycium chinense,96,chinense,,,Lycium,Solanaceae,
Lycium cooperi,109,cooperi,,,Lycium,Solanaceae,
Lycium europaeum,144,europaeum,,,Lycium,Solanaceae,
Lycium intricatum,205,intricatum,,,Lycium,Solanaceae,
Lycium macrodon,235,macrodon,,,Lycium,Solanaceae,
Lycium mediterraneum,242,mediterraneum,,,Lycium,Solanaceae,
Lycium pallidum,293,pallidum,,,Lycium,Solanaceae,
Lycium ruthenicum,356,ruthenicum,,,Lycium,Solanaceae,
Lycium shawii,375,shawii,,,Lycium,Solanaceae,
Lygodesmia juncea,207,juncea,,,Lygodesmia,Asteraceae,
Lyonia ferruginea,148,ferruginea,,,Lyonia,Ericaceae,
Malus fusca,163,fusca,,,Malus,Rosaceae,
Malus sylvestris,393,sylvestris,,,Malus,Rosaceae,
Malus xdomestica,450,xdomestica,,,Malus,Rosaceae,
Malvaviscus arboreus,37,arboreus,,,Malvaviscus,Malvaceae,
Mespilus coccinea,101,coccinea,,,Mespilus,Rosaceae,
Mespilus germanica,164,germanica,,,Mespilus,Rosaceae,
Myoporum laetum,214,laetum,,,Myoporum,Scrophulariaceae,
Myrica pensylvanica,305,pensylvanica,,,Myrica,Myricaceae,
Nyssa sylvatica,391,sylvatica,,,Nyssa,Nyssaceae,
Ostrya virginiana,438,virginiana,,,Ostrya,Betulaceae,
Parthenium integrifolium,203,integrifolium,,,Parthenium,Asteraceae,
Parthenocissus quinquefolia,333,quinquefolia,,,Parthenocissus,Vitaceae,
Pectocarya linearis,231,linearis,,,Pectocarya,Boraginaceae,
Persea borbonia,58,borbonia,,,Persea,Lauraceae,
Persea palustris,296,palustris,,,Persea,Lauraceae,
Phoradendron villosum,431,villosum,,,Phoradendron,Santalaceae,
Picea abies,1,abies,,,Picea,Pinaceae,
Picea glauca,173,glauca,,,Picea,Pinaceae,
Pinus contorta,108,contorta,,,Pinus,Pinaceae,
Pinus virginiana,437,virginiana,,,Pinus,Pinaceae,
Plantago lanceolata,220,lanceolata,,,Plantago,Plantaginaceae,
Populus alba,10,alba,,,Populus,Salicaceae,
Populus angustifolia,32,angustifolia,,,Populus,Salicaceae,
Populus balsamifera,53,balsamifera,,,Populus,Salicaceae,
Populus deltoides,122,deltoides,,,Populus,Salicaceae,
Populus fremontii,154,fremontii,,,Populus,Salicaceae,
Populus grandidentata,179,grandidentata,,,Populus,Salicaceae,
Populus nigra,275,nigra,,,Populus,Salicaceae,
Populus tomentosa,402,tomentosa,,,Populus,Salicaceae,
Populus tremula,405,tremula,,,Populus,Salicaceae,
Populus tremuloides,406,tremuloides,,,Populus,Salicaceae,
Populus trichocarpa,408,trichocarpa,,,Populus,Salicaceae,
Prosopis glandulosa,171,glandulosa,,,Prosopis,Fabaceae,
Prosopis velutina,424,velutina,,,Prosopis,Fabaceae,
Prunus americana,23,americana,,,Prunus,Rosaceae,
Prunus andersonii,29,andersonii,,,Prunus,Rosaceae,
Prunus armeniaca,41,armeniaca,,,Prunus,Rosaceae,
Prunus avium,50,avium,,,Prunus,Rosaceae,
Prunus cerasifera,92,cerasifera,,,Prunus,Rosaceae,
Prunus cerasus,93,cerasus,,,Prunus,Rosaceae,
Prunus communis,104,communis,,,Prunus,Rosaceae,
Prunus divaricata,131,divaricata,,,Prunus,Rosaceae,
Prunus domestica,133,domestica,,,Prunus,Rosaceae,
Prunus dulcis,138,dulcis,,,Prunus,Rosaceae,
Prunus emarginata,140,emarginata,,,Prunus,Rosaceae,
Prunus fruticosa,160,fruticosa,,,Prunus,Rosaceae,
Prunus granatum,178,granatum,,,Prunus,Rosaceae,
Prunus hortulana,192,hortulana,,,Prunus,Rosaceae,
Prunus ilicifolia,195,ilicifolia,,,Prunus,Rosaceae,
Prunus insititia,199,insititia,,,Prunus,Rosaceae,
Prunus mahaleb,237,mahaleb,,,Prunus,Rosaceae,
Prunus maritima,239,maritima,,,Prunus,Rosaceae,
Prunus mume,256,mume,,,Prunus,Rosaceae,
Prunus munsoniana,257,munsoniana,,,Prunus,Rosaceae,
Prunus nigra,272,nigra,,,Prunus,Rosaceae,
Prunus padus,291,padus,,,Prunus,Rosaceae,
Prunus persica,308,persica,,,Prunus,Rosaceae,
Prunus prostrata,319,prostrata,,,Prunus,Rosaceae,
Prunus pseudocerasus,321,pseudocerasus,,,Prunus,Rosaceae,
Prunus ramburei,338,ramburei,,,Prunus,Rosaceae,
Prunus salicina,361,salicina,,,Prunus,Rosaceae,
Prunus serotina,370,serotina,,,Prunus,Rosaceae,
Prunus serrulata,374,serrulata,,,Prunus,Rosaceae,
Prunus spinosa,379,spinosa,,,Prunus,Rosaceae,
Prunus subcordata,390,subcordata,,,Prunus,Rosaceae,
Prunus triloba,413,triloba,,,Prunus,Rosaceae,
Prunus virginiana,439,virginiana,,,Prunus,Rosaceae,
Prunus yedoensis,452,yedoensis,,,Prunus,Rosaceae,
Pteridium aquilinum,35,aquilinum,,,Pteridium,Dennstaedtiaceae,
Purshia tridentata,410,tridentata,,,Purshia,Rosaceae,
Pyracantha coccinea,100,coccinea,,,Pyracantha,Rosaceae,
Pyrus aria,40,aria,,,Pyrus,Rosaceae,
Pyrus calleryana,68,calleryana,,,Pyrus,Rosaceae,
Pyrus communis,105,communis,,,Pyrus,Rosaceae,
Pyrus salicifolia,360,salicifolia,,,Pyrus,Rosaceae,
Pyrus spinosa,380,spinosa,,,Pyrus,Rosaceae,
Pyrus ussuriensis,423,ussuriensis,,,Pyrus,Rosaceae,
Quercus agrifolia,453,agrifolia,,,Quercus,Fagaceae,
Quercus alba,454,alba,,Disholcaspis globosa,Quercus,Fagaceae,"72,155,157,156,158,159,160,161,162,163,164,165"
Quercus arizonica,455,arizonica,,,Quercus,Fagaceae,
Quercus berberidifolia,456,berberidifolia,,,Quercus,Fagaceae,
Quercus bicolor,457,bicolor,,,Quercus,Fagaceae,"68,69,74,75,70,77,79,80,78,81,84,86,87,106,109,160"
Quercus breviloba,458,breviloba,,,Quercus,Fagaceae,"97,98,102,183,184"
Quercus cerris,459,cerris,,,Quercus,Fagaceae,
Quercus chapmanii,460,chapmanii,,,Quercus,Fagaceae,
Quercus chrysolepis,461,chrysolepis,,,Quercus,Fagaceae,
Quercus coccifera,462,coccifera,,,Quercus,Fagaceae,
Quercus coccinea,463,coccinea,,,Quercus,Fagaceae,"50,51,53,61,63,64,109,112,114,116,125,129,130,132,137,138,139,142,143,150,151,154,176"
Quercus douglasii,464,douglasii,,,Quercus,Fagaceae,
Quercus emoryi,465,emoryi,,,Quercus,Fagaceae,
Quercus falcata,466,falcata,,,Quercus,Fagaceae,"61,64,112,153,154,172"
Quercus fusiformis,467,fusiformis,,,Quercus,Fagaceae,
Quercus garryana,468,garryana,,,Quercus,Fagaceae,
Quercus geminata,469,geminata,,,Quercus,Fagaceae,
Quercus glauca,470,glauca,,,Quercus,Fagaceae,
Quercus grisea,471,grisea,,,Quercus,Fagaceae,
Quercus hemisphaerica,472,hemisphaerica,,,Quercus,Fagaceae,
Quercus hypoleucoides,473,hypoleucoides,,,Quercus,Fagaceae,
Quercus ilex,474,ilex,,,Quercus,Fagaceae,
Quercus ilicifolia,475,ilicifolia,,,Quercus,Fagaceae,"51,61,63,64,109,112,153,154"
Quercus ilicis,476,ilicis,,,Quercus,Fagaceae,
Quercus imbricaria,477,imbricaria,,Neuroterus laurifoliae,Quercus,Fagaceae,"61,67,66,75,112,176"
Quercus incana,478,incana,,,Quercus,Fagaceae,"62,96,172,176"
Quercus ithaburensis,479,ithaburensis,,,Quercus,Fagaceae,
Quercus laceyi,480,laceyi,,,Quercus,Fagaceae,
Quercus laevis,481,laevis,,,Quercus,Fagaceae,"47,49,61,62,96"
Quercus laurifolia,482,laurifolia,,Neuroterus laurifoliae,Quercus,Fagaceae,"61,62,67,65,96"
Quercus lobata,483,lobata,,,Quercus,Fagaceae,
Quercus lyrata,484,lyrata,,,Quercus,Fagaceae,78
Quercus macrocarpa,485,macrocarpa,,,Quercus,Fagaceae,"69,73,74,76,71,79,78,84"
Quercus macrolepis,486,macrolepis,,,Quercus,Fagaceae,
Quercus margarettae,487,margarettae,,,Quercus,Fagaceae,
Quercus marilandica,488,marilandica,,,Quercus,Fagaceae,"51,61,62,64,96,112,153,169,171,172"
Quercus michauxii,489,michauxii,,,Quercus,Fagaceae,"156,181,182"
Quercus montana,490,montana,,Disholcaspis globosa,Quercus,Fagaceae,"155,156,178,180,181,182"
Quercus muehlenbergii,491,muehlenbergii,,,Quercus,Fagaceae,182
Quercus myrtifolia,492,myrtifolia,,,Quercus,Fagaceae,"61,62,96"
Quercus nigra,493,nigra,,,Quercus,Fagaceae,"61,176"
Quercus oblongifolia,494,oblongifolia,,,Quercus,Fagaceae,
Quercus palustris,495,palustris,,,Quercus,Fagaceae,"46,61,154,174,176"
Quercus parvula,496,parvula,,,Quercus,Fagaceae,
Quercus phellos,497,phellos,,,Quercus,Fagaceae,"51,61,62,172"
Quercus prinoides,498,prinoides,,,Quercus,Fagaceae,165
Quercus pubescens,499,pubescens,,,Quercus,Fagaceae,
Quercus pumila,500,pumila,,,Quercus,Fagaceae,62
Quercus pungens,501,pungens,,,Quercus,Fagaceae,
Quercus reticulata,502,reticulata,,,Quercus,Fagaceae,
Quercus robur,503,robur,,,Quercus,Fagaceae,
Quercus rubra,504,rubra,,,Quercus,Fagaceae,"48,50,51,52,54,55,56,59,60,63,64,107,108,109,110,111,112,113,114,116,123,128,131,132,136,138,139,143,144,148,150,151,153,154,173,174,176,177"
Quercus shumardii,505,shumardii,,,Quercus,Fagaceae,
Quercus sinuata,506,sinuata,,,Quercus,Fagaceae,
Quercus stellata,507,stellata,,,Quercus,Fagaceae,"82,83,85,88,89,90,93,95,97,99,100,98,102,103,104,105,117,122,121,133"
Quercus suber,508,suber,,,Quercus,Fagaceae,
Quercus texana,509,texana,,,Quercus,Fagaceae,"52,64,153"
Quercus turbinella,510,turbinella,,,Quercus,Fagaceae,
Quercus undulata,511,undulata,,,Quercus,Fagaceae,
Quercus vaccinifolia,512,vaccinifolia,,,Quercus,Fagaceae,
Quercus velutina,513,velutina,,,Quercus,Fagaceae,"51,55,61,63,64,107,108,111,112,114,116,126,127,131,134,138,150,151,154,153,176"
Quercus virginiana,514,virginiana,,,Quercus,Fagaceae,
Quercus wislizensii,515,wislizensii,,,Quercus,Fagaceae,
Rhamnus cathartica,91,cathartica,,,Rhamnus,Rhamnaceae,
Rhododendron menziesii,245,menziesii,,,Rhododendron,Ericaceae,
Rhus aromatica,43,aromatica,,,Rhus,Anacardiaceae,
Rhus coppalinum,110,coppalinum,,,Rhus,Anacardiaceae,
Rhus glabra,168,glabra,,,Rhus,Anacardiaceae,
Rhus integrifolia,202,integrifolia,,,Rhus,Anacardiaceae,
Rhus microphylla,249,microphylla,,,Rhus,Anacardiaceae,
Rhus trilobata,414,trilobata,,,Rhus,Anacardiaceae,
Rhus trilobata,415,trilobata,,,Rhus,Anacardiaceae,
Rhus typhina,419,typhina,,,Rhus,Anacardiaceae,
Rhus virens,434,virens,,,Rhus,Anacardiaceae,
Rubus armeniacus,42,armeniacus,,,Rubus,Rosaceae,
Rubus caesius,62,caesius,,,Rubus,Rosaceae,
Rubus fruticosus,161,fruticosus,,,Rubus,Rosaceae,
Rubus idaeus,194,idaeus,,,Rubus,Rosaceae,
Rubus laciniatus,213,laciniatus,,,Rubus,Rosaceae,
Rubus leucodermis,230,leucodermis,,,Rubus,Rosaceae,
Rubus pubescens,326,pubescens,,,Rubus,Rosaceae,
Rubus thyrsanthus,399,thyrsanthus,,,Rubus,Rosaceae,
Rubus ursinus,422,ursinus,,,Rubus,Rosaceae,
Rubus vitifolius,442,vitifolius,,,Rubus,Rosaceae,
Ruellia patula,300,patula,,,Ruellia,Acanthaceae,
Ruellia tuberosa,416,tuberosa,,,Ruellia,Acanthaceae,
Salix acutifolia,3,acutifolia,,,Salix,Salicaceae,
Salix aegyptica,4,aegyptica,,,Salix,Salicaceae,
Salix alba,9,alba,,,Salix,Salicaceae,
Salix amygdalina,26,amygdalina,,,Salix,Salicaceae,
Salix amygdaloides,27,amygdaloides,,,Salix,Salicaceae,
Salix appendiculata,34,appendiculata,,,Salix,Salicaceae,
Salix arbuscula,38,arbuscula,,,Salix,Salicaceae,
Salix aurita,48,aurita,,,Salix,Salicaceae,
