Title,Record,Author,Year of publication,Hyperlink,Citation (MLA),Source Contents
Studies of some new and described Cynipidae (Hymenoptera),25,Charles Alfred Kinsey,1922,https://www.biodiversitylibrary.org/page/45387508#page/65/mode/1up,"Kinsey, Alfred Charles, and Kenneth D. Ayres. Studies of some new and described Cynipidae (Hymenoptera). Vol. 9. No. 53. University of Indiana, 1922.","98,183"
Descriptions of Five New Genera in the Family Cynipidae,26,William Ashmead,1897,https://www.biodiversitylibrary.org/item/88720#page/285/mode/1up,"Ashmead, William H. ""Descriptions of five new genera in the family Cynipidae."" The Canadian Entomologist 29.11 (1897): 260-263.",101
A New Andricus from New Jersey,27,William Beutenmuller,1913,https://www.biodiversitylibrary.org/item/36243#page/172/mode/1up,,106
Description of a New Gallfly (Andricus decidua),28,William Beutenmuller,1913,https://www.biodiversitylibrary.org/item/36243#page/179/mode/1up,,107
Descriptions of several new species of Cynips and a new species of Diastrophus,29,HF Bassett,1864,https://www.biodiversitylibrary.org/item/23810#page/699/mode/1up,"Bassett, Homer Franklin. Descriptions of several new species of Cynips, and a new species of Diastrophus. The Society, 1864.","110,177,178"
"A Report on the Insects of Massachusetts, Injurious to Vegetation",30,TW Harris,1841,https://www.biodiversitylibrary.org/item/27609#page/5/mode/1up,"Harris, Thaddeus William. A report on the insects of Massachusetts, injurious to vegetation: Publ.... by the commissioners on the Zoological and Botanical Survey of the State. Folsom, Wells, and Thurston, 1841.",113
The species of Amphibolips and their gall,31,William Beutenmuller,1909,http://digitallibrary.amnh.org/bitstream/handle/2246/656//v2/dspace/ingest/pdfSource/bul/B026a06.pdf?sequence=1&isAllowed=y,"Beutenmuller, Wm. ""The species of Amphibolips and their Galls."" Amer. Mus. Nat. Hist 26: 47-66.","115,116,117,118,169"
New Species of North American Cynipidae (1890),32,HF Bassett,1890,https://www.biodiversitylibrary.org/item/32322#page/67/mode/1up,"Bassett, H. F. ""New species of North American Cynipidae."" Transactions of the American Entomological Society (1890-) 17.1 (1890): 59-92.","121,175"
A manual for the study of insects,33,"JH Comstock,AB Comstock",1904,https://www.biodiversitylibrary.org/item/266410#page/11/mode/1up,"Comstock, John Henry, and Anna Botsford Comstock. A Manual for the Study of Insects. Comstock Publishing Company, 1904.","130,131,132,133,152"
Review of the world genera of oak cynipid wasps (Hymenoptera: Cynipidae: Cynipini),34,"G Melika,WG Abrahamson",,https://www.researchgate.net/profile/Warren_Abrahamson/publication/254570300_Review_of_the_world_genera_of_oak_cynipid_wasps_Hymenoptera_Cynipidae_Cynipini/links/0deec52b85f3e817a3000000/Review-of-the-world-genera-of-oak-cynipid-wasps-Hymenoptera-Cynipidae-Cynipini.pdf,"MELIKA, George, and Warren G. ABRAHAMSON. ""REVIEW OF THE WORLD GENERA OF OAK CYNIPID WASPS.""",140
