gf_id,genus,species,inatcode,type,generation,described
710,Belonocnema,kinseyi,1195335,gall,Agamic,1
1337,Belonocnema,kinseyi,1195335,gall,Sexgen,1
813,Callirhytis,quercusbatatoides,542310,gall,Agamic,1
